method,accuracy,tool
cosine,0.005263157894736842,rna
cosine,0.0013157894736842105,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.006578947368421052,rna
cosine,0.003947368421052632,rna
cosine,0.005263157894736842,rna
cosine,0.007894736842105263,rna
cosine,0.003947368421052632,rna
cosine,0.002631578947368421,rna
cosine,0.005263157894736842,rna
cosine,0.003947368421052632,rna
cosine,0.005263157894736842,rna
cosine,0.002631578947368421,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.003947368421052632,rna
cosine,0.005263157894736842,rna
cosine,0.006578947368421052,rna
cosine,0.007894736842105263,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.003947368421052632,rna
cosine,0.003947368421052632,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.006578947368421052,rna
cosine,0.003947368421052632,rna
cosine,0.007894736842105263,rna
cosine,0.003947368421052632,rna
cosine,0.005263157894736842,rna
cosine,0.003947368421052632,rna
cosine,0.006578947368421052,rna
cosine,0.005263157894736842,rna
cosine,0.007894736842105263,rna
cosine,0.003947368421052632,rna
cosine,0.006578947368421052,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.006578947368421052,rna
cosine,0.007894736842105263,rna
cosine,0.005263157894736842,rna
cosine,0.003947368421052632,rna
cosine,0.007894736842105263,rna
cosine,0.003947368421052632,rna
cosine,0.005263157894736842,rna
cosine,0.006578947368421052,rna
cosine,0.005263157894736842,rna
cosine,0.005263157894736842,rna
cosine,0.003947368421052632,rna
