method,accuracy,tool
cosine,0.8566308243727598,numbat_cat
cosine,0.49040606871932174,numbat_cat
cosine,0.8525179856115108,numbat_cat
cosine,0.4964507542147294,numbat_cat
cosine,0.8616548042704626,numbat_cat
cosine,0.49122036874451275,numbat_cat
cosine,0.8466666666666667,numbat_cat
cosine,0.8558599012123933,numbat_cat
cosine,0.8584149599287623,numbat_cat
cosine,0.8533333333333334,numbat_cat
cosine,0.8508655126498003,numbat_cat
cosine,0.8526409232134932,numbat_cat
cosine,0.854046881910659,numbat_cat
cosine,0.8566978193146417,numbat_cat
cosine,0.8529807261317794,numbat_cat
cosine,0.85809906291834,numbat_cat
cosine,0.49644128113879005,numbat_cat
cosine,0.8567627494456763,numbat_cat
cosine,0.858540925266904,numbat_cat
cosine,0.8529151943462897,numbat_cat
cosine,0.4910233393177738,numbat_cat
cosine,0.4940079893475366,numbat_cat
cosine,0.8592297476759628,numbat_cat
cosine,0.8573357335733574,numbat_cat
cosine,0.49466666666666664,numbat_cat
cosine,0.8602678571428571,numbat_cat
cosine,0.8554216867469879,numbat_cat
cosine,0.8538116591928251,numbat_cat
cosine,0.849911190053286,numbat_cat
cosine,0.8593890386343217,numbat_cat
cosine,0.8487167942368302,numbat_cat
cosine,0.8491243825774585,numbat_cat
cosine,0.8575256811076374,numbat_cat
cosine,0.4950271247739602,numbat_cat
cosine,0.8570792520035619,numbat_cat
cosine,0.8563758389261745,numbat_cat
cosine,0.8524810013410818,numbat_cat
cosine,0.853822083147072,numbat_cat
cosine,0.8542131074453856,numbat_cat
cosine,0.4888392857142857,numbat_cat
cosine,0.8530594015185351,numbat_cat
cosine,0.4993348115299335,numbat_cat
cosine,0.8516703786191536,numbat_cat
cosine,0.8548387096774194,numbat_cat
cosine,0.8553402433528616,numbat_cat
cosine,0.8595782862270076,numbat_cat
cosine,0.8572070049393803,numbat_cat
cosine,0.8515901060070671,numbat_cat
cosine,0.8558599012123933,numbat_cat
cosine,0.8613595706618963,numbat_cat
cosine,0.8539823008849557,numbat_cat
cosine,0.8580901856763926,numbat_cat
cosine,0.498193315266486,numbat_cat
cosine,0.8531623175586024,numbat_cat
cosine,0.8567019400352733,numbat_cat
cosine,0.856760374832664,numbat_cat
cosine,0.4931748128577719,numbat_cat
cosine,0.8536367692994199,numbat_cat
cosine,0.8556701030927835,numbat_cat
cosine,0.8508137432188065,numbat_cat
cosine,0.5024630541871922,numbat_cat
cosine,0.8598754448398577,numbat_cat
cosine,0.8579723090665475,numbat_cat
cosine,0.8597670250896058,numbat_cat
cosine,0.8615107913669064,numbat_cat
cosine,0.8557347670250897,numbat_cat
cosine,0.49617977528089885,numbat_cat
cosine,0.8553097345132743,numbat_cat
cosine,0.8578409595735229,numbat_cat
cosine,0.4986725663716814,numbat_cat
cosine,0.8537127612272121,numbat_cat
cosine,0.8490650044523598,numbat_cat
cosine,0.4867021276595745,numbat_cat
cosine,0.8511111111111112,numbat_cat
cosine,0.8570794496227253,numbat_cat
cosine,0.855475763016158,numbat_cat
cosine,0.4946524064171123,numbat_cat
cosine,0.8519503546099291,numbat_cat
cosine,0.8541019955654102,numbat_cat
cosine,0.8582222222222222,numbat_cat
cosine,0.8532974427994616,numbat_cat
cosine,0.8507992895204263,numbat_cat
cosine,0.49505395683453235,numbat_cat
cosine,0.8556005398110661,numbat_cat
cosine,0.855199648968846,numbat_cat
cosine,0.8512911843276937,numbat_cat
cosine,0.8566308243727598,numbat_cat
cosine,0.8542600896860987,numbat_cat
cosine,0.8583518930957684,numbat_cat
cosine,0.8534521158129176,numbat_cat
cosine,0.8525033829499323,numbat_cat
cosine,0.8580385132109271,numbat_cat
cosine,0.8572702943800179,numbat_cat
cosine,0.8595406360424028,numbat_cat
cosine,0.48695267580716495,numbat_cat
cosine,0.8563734290843806,numbat_cat
cosine,0.8544558889386475,numbat_cat
cosine,0.8562527814864264,numbat_cat
cosine,0.0,numbat_cat
cosine,0.4973285841495993,numbat_cat
cosine,0.5020026702269693,numbat_cat
cosine,0.8630502445531347,numbat_cat
cosine,0.8524444444444444,numbat_cat
cosine,0.856637168141593,numbat_cat
cosine,0.4944171505136222,numbat_cat
cosine,0.8512544802867383,numbat_cat
cosine,0.851586946803755,numbat_cat
cosine,0.8598130841121495,numbat_cat
cosine,0.8484712230215827,numbat_cat
cosine,0.8491992882562278,numbat_cat
cosine,0.8529151943462897,numbat_cat
cosine,0.8549618320610687,numbat_cat
cosine,0.8547884187082405,numbat_cat
cosine,0.48719101123595504,numbat_cat
cosine,0.8602974312753493,numbat_cat
cosine,0.8494671403197158,numbat_cat
cosine,0.8570790531487271,numbat_cat
cosine,0.8588025022341377,numbat_cat
cosine,0.8510733452593918,numbat_cat
cosine,0.8624719101123596,numbat_cat
cosine,0.8470744680851063,numbat_cat
cosine,0.8496877787689563,numbat_cat
cosine,0.8600967883853937,numbat_cat
cosine,0.8603401969561325,numbat_cat
cosine,0.8540734109221128,numbat_cat
cosine,0.8567591763652641,numbat_cat
cosine,0.49910873440285203,numbat_cat
cosine,0.8529411764705882,numbat_cat
cosine,0.8490901020861075,numbat_cat
cosine,0.49798837729101475,numbat_cat
cosine,0.8502222222222222,numbat_cat
cosine,0.4948637784725324,numbat_cat
cosine,0.8581528943879806,numbat_cat
cosine,0.8586083853702052,numbat_cat
cosine,0.8557435440783615,numbat_cat
cosine,0.0,numbat_cat
cosine,0.8516703786191536,numbat_cat
cosine,0.8554964539007093,numbat_cat
cosine,0.8574590526781762,numbat_cat
cosine,0.8588929219600726,numbat_cat
cosine,0.8548102383053839,numbat_cat
cosine,0.49686940966010734,numbat_cat
cosine,0.8572068039391226,numbat_cat
cosine,0.8590724898694282,numbat_cat
cosine,0.8527716186252772,numbat_cat
cosine,0.8535825545171339,numbat_cat
cosine,0.8602678571428571,numbat_cat
cosine,0.8556053811659193,numbat_cat
