method,accuracy,tool
cosine,0.32898636633076467,numbat_cat
cosine,0.3278639618138425,numbat_cat
cosine,0.3268032056990205,numbat_cat
cosine,0.3329366260041654,numbat_cat
cosine,0.3310509080083358,numbat_cat
cosine,0.33533113575067425,numbat_cat
cosine,0.33065236818588023,numbat_cat
cosine,0.3296898079763663,numbat_cat
cosine,0.33065236818588023,numbat_cat
cosine,0.33114949374627756,numbat_cat
cosine,0.32944693572496264,numbat_cat
cosine,0.32774116237267825,numbat_cat
cosine,0.33501933948229695,numbat_cat
cosine,0.33135038667459843,numbat_cat
cosine,0.3249850924269529,numbat_cat
cosine,0.3318531675547661,numbat_cat
cosine,0.33174791914387636,numbat_cat
cosine,0.3308450283666766,numbat_cat
cosine,0.3301549463647199,numbat_cat
cosine,0.3316357100059916,numbat_cat
cosine,0.32530478739220936,numbat_cat
cosine,0.33164481525625744,numbat_cat
cosine,0.3345227475468332,numbat_cat
cosine,0.3291064582718962,numbat_cat
cosine,0.33125,numbat_cat
cosine,0.33105700712589076,numbat_cat
cosine,0.32474535650089875,numbat_cat
cosine,0.32520083308539127,numbat_cat
cosine,0.3321407274895647,numbat_cat
cosine,0.3243001786777844,numbat_cat
cosine,0.32261904761904764,numbat_cat
cosine,0.32870233520543896,numbat_cat
cosine,0.3278639618138425,numbat_cat
cosine,0.3244444444444444,numbat_cat
cosine,0.3319477434679335,numbat_cat
cosine,0.32957579353307626,numbat_cat
cosine,0.3309608540925267,numbat_cat
cosine,0.33126110124333924,numbat_cat
cosine,0.32645739910313903,numbat_cat
cosine,0.3267681289167413,numbat_cat
cosine,0.32576210400478184,numbat_cat
cosine,0.33462109955423475,numbat_cat
cosine,0.33115144302290983,numbat_cat
cosine,0.32386363636363635,numbat_cat
cosine,0.325037037037037,numbat_cat
cosine,0.3274992583803026,numbat_cat
cosine,0.32830076968620486,numbat_cat
cosine,0.3327354260089686,numbat_cat
cosine,0.3258994944989593,numbat_cat
cosine,0.32547732696897375,numbat_cat
cosine,0.3303384246780473,numbat_cat
cosine,0.33541480820695807,numbat_cat
cosine,0.3259456264775414,numbat_cat
cosine,0.3315380011968881,numbat_cat
cosine,0.3345280764635603,numbat_cat
cosine,0.32926829268292684,numbat_cat
cosine,0.3349282296650718,numbat_cat
cosine,0.3319514361859639,numbat_cat
cosine,0.3272943272943273,numbat_cat
cosine,0.32204396910279265,numbat_cat
cosine,0.3314623338257016,numbat_cat
cosine,0.33135038667459843,numbat_cat
cosine,0.33135743924125666,numbat_cat
cosine,0.32978093546477205,numbat_cat
cosine,0.32830076968620486,numbat_cat
