method,accuracy,tool
cosine,0.42678571428571427,numbat_cat
cosine,0.2453125,numbat_cat
cosine,0.4232142857142857,numbat_cat
cosine,0.24977678571428572,numbat_cat
cosine,0.4323660714285714,numbat_cat
cosine,0.24977678571428572,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.42544642857142856,numbat_cat
cosine,0.4303571428571429,numbat_cat
cosine,0.42857142857142855,numbat_cat
cosine,0.4279017857142857,numbat_cat
cosine,0.42879464285714286,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.4296875,numbat_cat
cosine,0.42477678571428573,numbat_cat
cosine,0.42924107142857143,numbat_cat
cosine,0.24910714285714286,numbat_cat
cosine,0.43125,numbat_cat
cosine,0.43080357142857145,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.24419642857142856,numbat_cat
cosine,0.2484375,numbat_cat
cosine,0.43325892857142856,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.2484375,numbat_cat
cosine,0.43013392857142857,numbat_cat
cosine,0.4279017857142857,numbat_cat
cosine,0.425,numbat_cat
cosine,0.42723214285714284,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.42075892857142855,numbat_cat
cosine,0.4220982142857143,numbat_cat
cosine,0.42857142857142855,numbat_cat
cosine,0.24441964285714285,numbat_cat
cosine,0.4296875,numbat_cat
cosine,0.42723214285714284,numbat_cat
cosine,0.42566964285714287,numbat_cat
cosine,0.4263392857142857,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.24441964285714285,numbat_cat
cosine,0.4263392857142857,numbat_cat
cosine,0.2513392857142857,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.4236607142857143,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.42611607142857144,numbat_cat
cosine,0.4303571428571429,numbat_cat
cosine,0.42544642857142856,numbat_cat
cosine,0.4299107142857143,numbat_cat
cosine,0.43080357142857145,numbat_cat
cosine,0.43325892857142856,numbat_cat
cosine,0.24620535714285716,numbat_cat
cosine,0.43058035714285714,numbat_cat
cosine,0.43370535714285713,numbat_cat
cosine,0.42857142857142855,numbat_cat
cosine,0.25,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.42611607142857144,numbat_cat
cosine,0.4200892857142857,numbat_cat
cosine,0.25044642857142857,numbat_cat
cosine,0.4314732142857143,numbat_cat
cosine,0.42879464285714286,numbat_cat
cosine,0.4283482142857143,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.4263392857142857,numbat_cat
cosine,0.24642857142857144,numbat_cat
cosine,0.4314732142857143,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.2515625,numbat_cat
cosine,0.42857142857142855,numbat_cat
cosine,0.42566964285714287,numbat_cat
cosine,0.2450892857142857,numbat_cat
cosine,0.42745535714285715,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.42544642857142856,numbat_cat
cosine,0.24776785714285715,numbat_cat
cosine,0.4290178571428571,numbat_cat
cosine,0.4299107142857143,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.4245535714285714,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.24575892857142856,numbat_cat
cosine,0.4245535714285714,numbat_cat
cosine,0.43504464285714284,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.43013392857142857,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.421875,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.4290178571428571,numbat_cat
cosine,0.434375,numbat_cat
cosine,0.24575892857142856,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.4294642857142857,numbat_cat
cosine,0.0,numbat_cat
cosine,0.24933035714285715,numbat_cat
cosine,0.2517857142857143,numbat_cat
cosine,0.43325892857142856,numbat_cat
cosine,0.428125,numbat_cat
cosine,0.43214285714285716,numbat_cat
cosine,0.2470982142857143,numbat_cat
cosine,0.42410714285714285,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.43125,numbat_cat
cosine,0.4212053571428571,numbat_cat
cosine,0.42611607142857144,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.425,numbat_cat
cosine,0.4283482142857143,numbat_cat
cosine,0.24196428571428572,numbat_cat
cosine,0.42611607142857144,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.4283482142857143,numbat_cat
cosine,0.4290178571428571,numbat_cat
cosine,0.42477678571428573,numbat_cat
cosine,0.4283482142857143,numbat_cat
cosine,0.4265625,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.43638392857142855,numbat_cat
cosine,0.4290178571428571,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.42723214285714284,numbat_cat
cosine,0.25,numbat_cat
cosine,0.42075892857142855,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.2486607142857143,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.24732142857142858,numbat_cat
cosine,0.43348214285714287,numbat_cat
cosine,0.4296875,numbat_cat
cosine,0.4290178571428571,numbat_cat
cosine,0.0,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.43080357142857145,numbat_cat
cosine,0.4323660714285714,numbat_cat
cosine,0.4225446428571429,numbat_cat
cosine,0.4323660714285714,numbat_cat
cosine,0.24799107142857144,numbat_cat
cosine,0.42745535714285715,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.42924107142857143,numbat_cat
cosine,0.428125,numbat_cat
cosine,0.43013392857142857,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.24196428571428572,numbat_cat
cosine,0.4265625,numbat_cat
cosine,0.4357142857142857,numbat_cat
cosine,0.24776785714285715,numbat_cat
cosine,0.42924107142857143,numbat_cat
cosine,0.4245535714285714,numbat_cat
cosine,0.4265625,numbat_cat
cosine,0.4265625,numbat_cat
cosine,0.42723214285714284,numbat_cat
cosine,0.42276785714285714,numbat_cat
cosine,0.42410714285714285,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.4294642857142857,numbat_cat
cosine,0.24910714285714286,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.4316964285714286,numbat_cat
cosine,0.41941964285714284,numbat_cat
cosine,0.42745535714285715,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.4283482142857143,numbat_cat
cosine,0.43258928571428573,numbat_cat
cosine,0.4216517857142857,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.4303571428571429,numbat_cat
cosine,0.2421875,numbat_cat
cosine,0.42477678571428573,numbat_cat
cosine,0.24263392857142857,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.4279017857142857,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.42723214285714284,numbat_cat
cosine,0.4290178571428571,numbat_cat
cosine,0.24441964285714285,numbat_cat
cosine,0.4279017857142857,numbat_cat
cosine,0.24575892857142856,numbat_cat
cosine,0.4265625,numbat_cat
cosine,0.4299107142857143,numbat_cat
cosine,0.42544642857142856,numbat_cat
cosine,0.4279017857142857,numbat_cat
cosine,0.42879464285714286,numbat_cat
cosine,0.42544642857142856,numbat_cat
cosine,0.2506696428571429,numbat_cat
cosine,0.4316964285714286,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.42924107142857143,numbat_cat
cosine,0.4238839285714286,numbat_cat
cosine,0.2450892857142857,numbat_cat
cosine,0.42879464285714286,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.4375,numbat_cat
cosine,0.2470982142857143,numbat_cat
cosine,0.4283482142857143,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.4316964285714286,numbat_cat
cosine,0.4252232142857143,numbat_cat
cosine,0.4238839285714286,numbat_cat
cosine,0.4216517857142857,numbat_cat
cosine,0.4314732142857143,numbat_cat
cosine,0.42857142857142855,numbat_cat
cosine,0.4245535714285714,numbat_cat
cosine,0.24441964285714285,numbat_cat
cosine,0.4236607142857143,numbat_cat
cosine,0.43080357142857145,numbat_cat
cosine,0.43370535714285713,numbat_cat
cosine,0.24620535714285716,numbat_cat
cosine,0.434375,numbat_cat
cosine,0.24553571428571427,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.4299107142857143,numbat_cat
cosine,0.43080357142857145,numbat_cat
cosine,0.43080357142857145,numbat_cat
cosine,0.2486607142857143,numbat_cat
cosine,0.4265625,numbat_cat
cosine,0.4236607142857143,numbat_cat
cosine,0.42544642857142856,numbat_cat
cosine,0.42477678571428573,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.42857142857142855,numbat_cat
cosine,0.25,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.43348214285714287,numbat_cat
cosine,0.24285714285714285,numbat_cat
cosine,0.43348214285714287,numbat_cat
cosine,0.42723214285714284,numbat_cat
cosine,0.428125,numbat_cat
cosine,0.25,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.43214285714285716,numbat_cat
cosine,0.42924107142857143,numbat_cat
cosine,0.42879464285714286,numbat_cat
cosine,0.42745535714285715,numbat_cat
cosine,0.4270089285714286,numbat_cat
cosine,0.42678571428571427,numbat_cat
cosine,0.24642857142857144,numbat_cat
cosine,0.42745535714285715,numbat_cat
cosine,0.4283482142857143,numbat_cat
cosine,0.4359375,numbat_cat
cosine,0.42745535714285715,numbat_cat
cosine,0.43125,numbat_cat
cosine,0.4263392857142857,numbat_cat
cosine,0.43013392857142857,numbat_cat
cosine,0.2484375,numbat_cat
cosine,0.4299107142857143,numbat_cat
cosine,0.4203125,numbat_cat
cosine,0.4276785714285714,numbat_cat
cosine,0.42589285714285713,numbat_cat
cosine,0.4294642857142857,numbat_cat
cosine,0.4310267857142857,numbat_cat
cosine,0.4234375,numbat_cat
cosine,0.4299107142857143,numbat_cat
cosine,0.4234375,numbat_cat
cosine,0.4245535714285714,numbat_cat
cosine,0.42611607142857144,numbat_cat
cosine,0.4314732142857143,numbat_cat
cosine,0.4252232142857143,numbat_cat
