type,median,sd
copykat_cosine,0.01184210526315789,0.0017041856041054705
copykat_kendall,0.01447368421052631,0.001380908182329822
copykat_pearson,0.01578947368421052,0.0012280513028111706
copykat_spearman,0.0131578947368421,0.001257048567045885
copyvae_cosine,0,6.237492909169787e-4
copyvae_kendall,0.00131578947368421,1.1745122968185886e-4
copyvae_pearson,0.00394736842105263,0.0011037195691261793
copyvae_spearman,0.00131578947368421,3.8839762917998715e-4
other_clonealign,0.001316,NA
other_macrodna,0.00789473684210526,0.002114260261247691
other_random,0.00131578947368421,0.0014109629518173647
rna_cosine,0.00526315789473684,0.001433141391262393
rna_kendall,0.00394736842105263,0.0014067680397566236
rna_pearson,0.00657894736842105,0.0016940781136808854
rna_spearman,0.00526315789473684,0.0014787578362559339
