type,top_n,median,sd,profile,metric
copykat_cosine,1,0.0118,0.0017,copykat,cosine
copykat_cosine,5,0.0342,0.0022,copykat,cosine
copykat_cosine,10,0.0447,0.0021,copykat,cosine
copykat_cosine,25,0.0724,0.0032,copykat,cosine
copykat_cosine,50,0.1013,0.0043,copykat,cosine
copykat_cosine,100,0.1428,0.0054,copykat,cosine
copykat_kendall,1,0.0145,0.0014,copykat,kendall
copykat_kendall,5,0.0289,0.0017,copykat,kendall
copykat_kendall,10,0.0408,0.0021,copykat,kendall
copykat_kendall,25,0.0632,0.0027,copykat,kendall
copykat_kendall,50,0.0961,0.0036,copykat,kendall
copykat_kendall,100,0.1579,0.0048,copykat,kendall
copykat_pearson,1,0.0158,0.0012,copykat,pearson
copykat_pearson,5,0.0342,0.0018,copykat,pearson
copykat_pearson,10,0.0474,0.002,copykat,pearson
copykat_pearson,25,0.0724,0.0026,copykat,pearson
copykat_pearson,50,0.1158,0.0042,copykat,pearson
copykat_pearson,100,0.1829,0.0054,copykat,pearson
copykat_spearman,1,0.0132,0.0013,copykat,spearman
copykat_spearman,5,0.0289,0.0017,copykat,spearman
copykat_spearman,10,0.0395,0.002,copykat,spearman
copykat_spearman,25,0.0625,0.0028,copykat,spearman
copykat_spearman,50,0.0987,0.0034,copykat,spearman
copykat_spearman,100,0.1579,0.0046,copykat,spearman
copyvae_cosine,1,0,6e-4,copyvae,cosine
copyvae_cosine,5,0.0053,0.0012,copyvae,cosine
copyvae_cosine,10,0.0105,0.0012,copyvae,cosine
copyvae_cosine,25,0.0289,0.0018,copyvae,cosine
copyvae_cosine,50,0.0579,0.0026,copyvae,cosine
copyvae_cosine,100,0.1263,0.0031,copyvae,cosine
copyvae_kendall,1,0.0013,1e-4,copyvae,kendall
copyvae_kendall,5,0.0026,0.0011,copyvae,kendall
copyvae_kendall,10,0.0092,0.0018,copyvae,kendall
copyvae_kendall,25,0.0316,0.0021,copyvae,kendall
copyvae_kendall,50,0.0658,0.0036,copyvae,kendall
copyvae_kendall,100,0.1355,0.0037,copyvae,kendall
copyvae_pearson,1,0.0039,0.0011,copyvae,pearson
copyvae_pearson,5,0.0092,7e-4,copyvae,pearson
copyvae_pearson,10,0.0158,0.0012,copyvae,pearson
copyvae_pearson,25,0.0303,0.0024,copyvae,pearson
copyvae_pearson,50,0.0658,0.0026,copyvae,pearson
copyvae_pearson,100,0.1276,0.0037,copyvae,pearson
copyvae_spearman,1,0.0013,4e-4,copyvae,spearman
copyvae_spearman,5,0.0026,0.001,copyvae,spearman
copyvae_spearman,10,0.0079,0.0018,copyvae,spearman
copyvae_spearman,25,0.0329,0.0023,copyvae,spearman
copyvae_spearman,50,0.0684,0.0033,copyvae,spearman
copyvae_spearman,100,0.1382,0.0039,copyvae,spearman
other_random,1,0.0013,0.0014,other,random
other_random,5,0.0066,0.0029,other,random
other_random,10,0.0132,0.0041,other,random
other_random,25,0.0329,0.0066,other,random
other_random,50,0.0658,0.0085,other,random
other_random,100,0.1316,0.0115,other,random
rna_cosine,1,0.0053,0.0014,rna,cosine
rna_cosine,5,0.0092,0.0014,rna,cosine
rna_cosine,10,0.0158,0.002,rna,cosine
rna_cosine,25,0.0329,0.0033,rna,cosine
rna_cosine,50,0.0592,0.004,rna,cosine
rna_cosine,100,0.1171,0.0048,rna,cosine
rna_kendall,1,0.0039,0.0014,rna,kendall
rna_kendall,5,0.0118,0.0019,rna,kendall
rna_kendall,10,0.0184,0.0025,rna,kendall
rna_kendall,25,0.0368,0.0039,rna,kendall
rna_kendall,50,0.0605,0.0049,rna,kendall
rna_kendall,100,0.1079,0.0065,rna,kendall
rna_pearson,1,0.0066,0.0017,rna,pearson
rna_pearson,5,0.0145,0.0024,rna,pearson
rna_pearson,10,0.0237,0.0032,rna,pearson
rna_pearson,25,0.0434,0.0053,rna,pearson
rna_pearson,50,0.0711,0.0088,rna,pearson
rna_pearson,100,0.125,0.0135,rna,pearson
rna_spearman,1,0.0053,0.0015,rna,spearman
rna_spearman,5,0.0118,0.0019,rna,spearman
rna_spearman,10,0.0197,0.0025,rna,spearman
rna_spearman,25,0.0355,0.0038,rna,spearman
rna_spearman,50,0.0579,0.0047,rna,spearman
rna_spearman,100,0.1066,0.0069,rna,spearman
