type,median,sd
copykat_cosine,0.22053571428571428,0.015381330756806186
copykat_kendall,0.29642857142857143,0.016623051766806254
copykat_pearson,0.31919642857142855,0.018184199710226577
copykat_spearman,0.31986607142857143,0.017042308396482225
copyvae_cosine,0.2502232142857143,0.002915627428804473
copyvae_kendall,0.3142857142857143,0.037350633587008734
copyvae_pearson,0.3727678571428571,0.05228968853729781
copyvae_spearman,0.3375,0.03379758106976723
numbat_cat_cosine,0.4267857142857142,0.0735789204141543
numbat_cat_kendall,0.6680803571428572,0.1052690418208927
numbat_cat_pearson,0.6332589285714286,0.10204445993626454
numbat_cat_spearman,0.6680803571428572,0.1052690418208927
numbat_cn_cosine,0.8554761904761905,0.023460424093429036
numbat_cn_kendall,0.7392857142857143,0.12267427747859667
numbat_cn_pearson,0.9066666666666666,0.1303685764733593
numbat_cn_spearman,0.9832142857142856,0.12585698151242344
other_clonealign,0.2830357142857143,NA
other_macrodna,0.7220982142857143,0.007891992301792496
other_random,0.24977678571428572,0.006384485042283593
rna_cosine,0.9243303571428572,0.009692374143385444
rna_kendall,0.7369419642857142,0.052422410541820674
rna_pearson,0.8738839285714286,0.047669206207692986
rna_spearman,0.7639508928571428,0.038834754042579224
