type,median,sd
copykat_cosine,0.5857684231477335,0.010840712006606829
copykat_kendall,0.6135597548518896,0.028915672293100318
copykat_pearson,0.6300487835633279,0.02977424164332999
copykat_spearman,0.609837478599962,0.02866156828113687
copyvae_cosine,0.4995549613784908,0.00465058096018794
copyvae_kendall,0.5348214563308804,0.027063613440555714
copyvae_pearson,0.6306549464444201,0.08838569366259869
copyvae_spearman,0.5373863542819961,0.02668234762024159
numbat_cat_cosine,0.8541019955654102,0.1511793632857443
numbat_cat_kendall,0.8541019955654102,0.1511793632857443
numbat_cat_pearson,0.8541019955654102,0.1511793632857443
numbat_cat_spearman,0.8541019955654102,0.1511793632857443
numbat_cn_cosine,0.8405314334836345,0.0038458961941031785
numbat_cn_kendall,0.9928503336510964,0.15593685227479823
numbat_cn_pearson,0.9928503336510964,0.15593685227479823
numbat_cn_spearman,0.9928503336510964,0.15593685227479823
other_random,0.5003341749738972,0.010081870755635228
rna_cosine,0.9995559502664298,2.17158435350421e-4
rna_kendall,0.8054369706330698,0.04178457514199154
rna_pearson,0.9568038949932393,0.05258540978313069
rna_spearman,0.7703853210272551,0.04217818705144634
