type,median,sd
copykat_cosine,0.29869162656563775,0.02190147767296374
copykat_kendall,0.32395451996965796,0.013061292472187642
copykat_pearson,0.3584964427147721,0.014854096259175742
copykat_spearman,0.366404297857689,0.012152788214825079
copyvae_cosine,0.21139896836346173,0.014667540251094485
copyvae_kendall,0.47071031315304734,0.03232904572266195
copyvae_pearson,0.5079148615760136,0.02441735116538852
copyvae_spearman,0.4679868714113987,0.03171709012244425
numbat_cat_cosine,0.3292610120131052,0.003502742216420707
numbat_cat_kendall,0.6514021112103481,0.08541818498948332
numbat_cat_pearson,0.6050831910989478,0.08331023503565
numbat_cat_spearman,0.6514021112103481,0.08541818498948332
numbat_cn_cosine,0.9888871246603861,0.04156190158173133
numbat_cn_kendall,0.6532360284426066,0.1247782614218821
numbat_cn_pearson,0.8777389647507146,0.1372650533136593
numbat_cn_spearman,0.9784263937676339,0.12905179665415284
other_random,0.3327387432775941,0.0081114984113777
rna_cosine,0.899152109478129,0.012919349532559745
rna_kendall,0.830126818592966,0.05243859271287856
rna_pearson,0.893313553196886,0.015580876313719995
rna_spearman,0.9000444707975097,0.02402097560387566
