Experiment,ident,statistic,p,p_corr
cell2cell_acc,rna_cosine,0.9252514383247427,6.590237023695173e-10,9.226331833173242e-9
cell2cell_acc,copyvae_cosine,0.5735899913275735,2.335488772965108e-24,3.2696842821511514e-23
cell2cell_acc,copykat_cosine,0.9324513398098903,2.7790448700995052e-9,3.890662818139307e-8
cell2cell_acc,rna_pearson,0.9471016986534491,7.173998387015788e-8,1.0043597741822104e-6
cell2cell_acc,copyvae_pearson,0.8784878596477279,3.1083262560426644e-13,4.35165675845973e-12
cell2cell_acc,copykat_pearson,0.8978372872115424,5.5256501256280874e-12,7.735910175879322e-11
cell2cell_acc,rna_spearman,0.9263860994584312,8.218633154993658e-10,1.1506086416991122e-8
cell2cell_acc,copyvae_spearman,0.3341121550166606,3.443906901926071e-29,4.821469662696499e-28
cell2cell_acc,copykat_spearman,0.9031596437160285,1.299929779951746e-11,1.8199016919324443e-10
cell2cell_acc,rna_kendall,0.9125580118507892,6.376003329271336e-11,8.926404660979871e-10
cell2cell_acc,copyvae_kendall,0.06216729681442723,3.238298625256985e-33,4.5336180753597794e-32
cell2cell_acc,copykat_kendall,0.9232581192286893,4.494135452705327e-10,6.291789633787458e-9
cell2cell_acc,other_random,0.8323944563955897,9.797681975521012e-16,1.3716754765729416e-14
cell2cell_acc,other_macrodna,0.9586421223888049,1.3785103172135767e-6,1.9299144440990072e-5
cell2cell_recall,rna_cosine,0.9252514383247427,6.590237023695173e-10,4.7449706570605244e-8
cell2cell_recall,rna_pearson,0.9471016986534491,7.173998387015788e-8,5.1652788386513675e-6
cell2cell_recall,rna_spearman,0.9263860994584312,8.218633154993658e-10,5.9174158715954336e-8
cell2cell_recall,rna_kendall,0.9125580118507892,6.376003329271336e-11,4.590722397075362e-9
cell2cell_recall,copykat_cosine,0.9324513398098903,2.7790448700995052e-9,2.0009123064716438e-7
cell2cell_recall,copykat_pearson,0.8978372872115424,5.5256501256280874e-12,3.978468090452223e-10
cell2cell_recall,copykat_spearman,0.9031596437160285,1.299929779951746e-11,9.359494415652572e-10
cell2cell_recall,copykat_kendall,0.9232581192286893,4.494135452705327e-10,3.2357775259478355e-8
cell2cell_recall,copyvae_cosine,0.5735899913275735,2.335488772965108e-24,1.6815519165348777e-22
cell2cell_recall,copyvae_pearson,0.8784878596477279,3.1083262560426644e-13,2.2379949043507184e-11
cell2cell_recall,copyvae_spearman,0.3341121550166606,3.443906901926071e-29,2.479612969386771e-27
cell2cell_recall,copyvae_kendall,0.06216729681442723,3.238298625256985e-33,2.3315750101850294e-31
cell2cell_recall,rna_cosine,0.919411227886917,2.1849076201463893e-10,1.5731334865054e-8
cell2cell_recall,rna_pearson,0.9660355426818197,1.1688917668718186e-5,8.416020721477094e-4
cell2cell_recall,rna_spearman,0.9554343631784502,5.81215632288251e-7,4.184752552475407e-5
cell2cell_recall,rna_kendall,0.9539339692682104,3.926683095876857e-7,2.827211829031337e-5
cell2cell_recall,copykat_cosine,0.9648425288390915,8.153994914716128e-6,5.870876338595612e-4
cell2cell_recall,copykat_pearson,0.947533731578321,7.957094985682742e-8,5.729108389691574e-6
cell2cell_recall,copykat_spearman,0.9475992206676438,8.083392128926939e-8,5.820042332827396e-6
cell2cell_recall,copykat_kendall,0.9389416792975456,1.1062460382117294e-8,7.964971475124452e-7
cell2cell_recall,copyvae_cosine,0.8962909312853523,4.333862859980177e-12,3.1203812591857276e-10
cell2cell_recall,copyvae_pearson,0.6782535596191748,1.5224482435518122e-21,1.0961627353573048e-19
cell2cell_recall,copyvae_spearman,0.8062080825225633,6.074641384179192e-17,4.373741796609019e-15
cell2cell_recall,copyvae_kendall,0.8225731539585127,3.336194850859454e-16,2.4020602926188068e-14
cell2cell_recall,rna_cosine,0.9620932714064641,3.6386831884600143e-6,2.6198518956912104e-4
cell2cell_recall,rna_pearson,0.9831151058534121,0.0046090196567921205,0.33184941528903267
cell2cell_recall,rna_spearman,0.9735797360310706,1.3343062170074213e-4,0.009607004762453433
cell2cell_recall,rna_kendall,0.9695085227763794,3.461001212128447e-5,0.0024919208727324817
cell2cell_recall,copykat_cosine,0.9644329655446628,7.216002174059754e-6,5.195521565323023e-4
cell2cell_recall,copykat_pearson,0.9566679354008909,8.067953579900538e-7,5.8089265775283873e-5
cell2cell_recall,copykat_spearman,0.9527869963915918,2.9236103389397254e-7,2.1049994440366023e-5
cell2cell_recall,copykat_kendall,0.9569191336149567,8.630566027268014e-7,6.214007539632971e-5
cell2cell_recall,copyvae_cosine,0.8939795271864159,3.027770855420338e-12,2.1799950159026434e-10
cell2cell_recall,copyvae_pearson,0.8974205495824467,5.174212942848851e-12,3.725433318851173e-10
cell2cell_recall,copyvae_spearman,0.9402303708737827,1.4708091547232856e-8,1.0589825914007656e-6
cell2cell_recall,copyvae_kendall,0.9551680844958843,5.41852205945193e-7,3.901335882805389e-5
cell2cell_recall,rna_cosine,0.9782758721208273,7.109327355575175e-4,0.05118715696014126
cell2cell_recall,rna_pearson,0.9802787409745966,0.0015127711008865832,0.10891951926383399
cell2cell_recall,rna_spearman,0.9829479070820569,0.004309783437278651,0.31030440748406285
cell2cell_recall,rna_kendall,0.9798967010994831,0.0013072241691691347,0.0941201401801777
cell2cell_recall,copykat_cosine,0.9813885368587958,0.0023246753399526437,0.16737662447659035
cell2cell_recall,copykat_pearson,0.9766655157035095,3.946098480617521e-4,0.02841190906044615
cell2cell_recall,copykat_spearman,0.9795721487321967,0.0011555646432703421,0.08320065431546464
cell2cell_recall,copykat_kendall,0.9715194754886438,6.666795876225301e-5,0.004800093030882217
cell2cell_recall,copyvae_cosine,0.9544279598293752,4.4642899271031125e-7,3.214288747514241e-5
cell2cell_recall,copyvae_pearson,0.9725329491152835,9.351761213529672e-5,0.006733268073741364
cell2cell_recall,copyvae_spearman,0.9696147156254192,3.5810752084772326e-5,0.0025783741501036075
cell2cell_recall,copyvae_kendall,0.9656588632625578,1.0425519057185475e-5,7.506373721173543e-4
cell2cell_recall,rna_cosine,0.9792740785949415,0.001032450533268847,0.07433643839535697
cell2cell_recall,rna_pearson,0.9829936974033634,0.004389668852268514,0.316056157363333
cell2cell_recall,rna_spearman,0.9854105522757387,0.011790322794582184,0.8489032412099172
cell2cell_recall,rna_kendall,0.9903763052541258,0.09751171042809581,1
cell2cell_recall,copykat_cosine,0.984454550404353,0.00794216535457656,0.5718359055295124
cell2cell_recall,copykat_pearson,0.9879370307720514,0.034267713541544016,1
cell2cell_recall,copykat_spearman,0.9819289257923376,0.0028739998964659673,0.20692799254554964
cell2cell_recall,copykat_kendall,0.9805570933366015,0.0016836173381899445,0.121220448349676
cell2cell_recall,copyvae_cosine,0.9750138179936028,2.1932575763691854e-4,0.015791454549858135
cell2cell_recall,copyvae_pearson,0.9690908896808137,3.028211901348319e-5,0.0021803125689707895
cell2cell_recall,copyvae_spearman,0.9690642521516394,3.0026076398039035e-5,0.0021618775006588104
cell2cell_recall,copyvae_kendall,0.9829899794554966,0.004383125471544035,0.3155850339511705
cell2cell_recall,rna_cosine,0.985350962856802,0.011501725755526828,0.8281242543979316
cell2cell_recall,rna_pearson,0.9918501972538234,0.18164918878257136,1
cell2cell_recall,rna_spearman,0.9919604704979071,0.1901340925327545,1
cell2cell_recall,rna_kendall,0.9937696825207464,0.38810984079213035,1
cell2cell_recall,copykat_cosine,0.9870166770598797,0.02315620544276296,1
cell2cell_recall,copykat_pearson,0.9920493487460297,0.197235281419506,1
cell2cell_recall,copykat_spearman,0.9858686132511583,0.014273922865018805,1
cell2cell_recall,copykat_kendall,0.9905438318236924,0.10473878951792158,1
cell2cell_recall,copyvae_cosine,0.9808958634129394,0.0019190976167030996,0.13817502840262316
cell2cell_recall,copyvae_pearson,0.9850944357184389,0.010340247585146019,0.7444978261305133
cell2cell_recall,copyvae_spearman,0.9897500604765076,0.0745752480345995,1
cell2cell_recall,copyvae_kendall,0.9825666825594841,0.0037006488823672834,0.2664467195304444
line2line_prelim,pre_pre-cosine,0.9587320093136663,0.003268869643001462,0.06210852321702778
line2line_prelim,pre_norm-cosine,0.9900195814469045,0.6661762813909624,1
line2line_prelim,pre_cor-cosine,0.9130318861061,6.121580824071812e-6,1.1631003565736443e-4
line2line_prelim,norm_pre-cosine,0.9772643248245592,0.08120230390409204,1
line2line_prelim,norm_norm-cosine,0.9931091763170586,0.8945583847309018,1
line2line_prelim,norm_cor-cosine,0.6526664531526509,4.843911432691017e-14,9.203431722112932e-13
line2line_prelim,cor_pre-cosine,0.9835172962142439,0.24713011695634302,1
line2line_prelim,cor_norm-cosine,0.9919276744536755,0.8159613850720675,1
line2line_prelim,cor_cor-cosine,0.6217217231151615,1.1342300429785614e-14,2.1550370816592666e-13
line2line_prelim,pre_pre-pearson,0.9443096963662018,3.5666369458543746e-4,0.006776610197123311
line2line_prelim,pre_norm-pearson,0.9912418724718357,0.7639891805608856,1
line2line_prelim,pre_cor-pearson,0.8913731924795759,5.678835122678555e-7,1.0789786733089255e-5
line2line_prelim,norm_pre-pearson,0.808097589122295,4.4235205023547527e-10,8.40468895447403e-9
line2line_prelim,norm_norm-pearson,0.9890677325865129,0.5899044671494265,1
line2line_prelim,norm_cor-pearson,0.5885381837847777,2.6212976819389028e-15,4.9804655956839155e-14
line2line_prelim,cor_pre-pearson,0.9166707663918696,9.4123185241851355e-06,1.7883405195951758e-4
line2line_prelim,cor_norm-pearson,0.9840273187859251,0.2696667010275848,1
line2line_prelim,cor_cor-pearson,0.6350610374744103,2.097896509375835e-14,3.9860033678140863e-13
line2line_prelim,other_random,0.9729851732858553,0.0375715911070116,0.7138602310332205
