Experiment,ident,statistic,p,p_corr
cell2cell_acc,rna_cosine,28742,1.0435589347207792e-40,1.4609825086090908e-39
cell2cell_acc,copyvae_cosine,1440,1,1
cell2cell_acc,copykat_cosine,31375,2.88853595536831e-43,4.043950337515634e-42
cell2cell_acc,rna_pearson,28171.5,4.932440269013274e-41,6.9054163766185834e-40
cell2cell_acc,copyvae_pearson,22063.5,6.892319485040207e-31,9.64924727905629e-30
cell2cell_acc,copykat_pearson,31375,1.6487289674660366e-43,2.3082205544524512e-42
cell2cell_acc,rna_spearman,28565,7.855614642401067e-40,1.0997860499361494e-38
cell2cell_acc,copyvae_spearman,6063,0.961813708404134,1
cell2cell_acc,copykat_spearman,31375,2.432136033720176e-43,3.404990447208246e-42
cell2cell_acc,rna_kendall,23388,4.132498859444928e-31,5.7854984032228985e-30
cell2cell_acc,copyvae_kendall,6097,0.7362968231181146,1
cell2cell_acc,copykat_kendall,31375,2.1339456764976825e-43,2.987523947096756e-42
cell2cell_acc,other_random,0,1,1
cell2cell_acc,other_macrodna,30622.5,1.1149502970636604e-42,1.5609304158891245e-41
cell2cell_recall,rna_cosine,28999.5,5.849517152482552e-41,4.5626233789363904e-39
cell2cell_recall,rna_pearson,30114,2.226810773507609e-42,1.736912403335935e-40
cell2cell_recall,rna_spearman,28166.5,4.908233227755673e-41,3.828421917649425e-39
cell2cell_recall,rna_kendall,23442.5,1.5137433057531794e-35,1.18071977848748e-33
cell2cell_recall,copykat_cosine,31375,2.8053121958722236e-43,2.1881435127803345e-41
cell2cell_recall,copykat_pearson,31375,1.584644476179393e-43,1.2360226914199264e-41
cell2cell_recall,copykat_spearman,31375,2.2767173779982367e-43,1.7758395548386247e-41
cell2cell_recall,copykat_kendall,31375,2.531654123415327e-43,1.9746902162639551e-41
cell2cell_recall,copyvae_cosine,1832.5,0.9999999999999991,1
cell2cell_recall,copyvae_pearson,24122,4.8142781141466305e-33,3.755136929034372e-31
cell2cell_recall,copyvae_spearman,6555,0.41594390584880225,1
cell2cell_recall,copyvae_kendall,7507.5,0.09175129080592882,1
cell2cell_recall,other_random,0,1,1
cell2cell_recall,rna_cosine,25112.5,4.1074264610692695e-30,3.20379263963403e-28
cell2cell_recall,rna_pearson,31105.5,7.289672827697583e-43,5.685944805604115e-41
cell2cell_recall,rna_spearman,27907,2.313112944577385e-39,1.8042280967703604e-37
cell2cell_recall,rna_kendall,28991.5,9.966072360186658e-41,7.773536440945593e-39
cell2cell_recall,copykat_cosine,31375,4.24806078837664e-43,3.313487414933779e-41
